transaction_id,product_id,product_name,date,day_part,day_type,quantity,unit_price,cost 
1,4,Cookies,2016-10-30,Morning,Weekend,1,2.00,2.00
2,7,Muffin,2016-10-30,Morning,Weekend,3,2.00,6.00
3,8,Pastry,2016-10-30,Morning,Weekend,3,3.50,10.50
4,8,Pastry,2016-10-30,Morning,Weekend,6,3.50,21.00
5,7,Muffin,2016-10-30,Morning,Weekend,6,2.00,12.00
6,8,Pastry,2016-10-30,Morning,Weekend,2,3.50,7.00
7,8,Pastry,2016-10-30,Morning,Weekend,1,3.50,3.50
8,7,Muffin,2016-10-30,Morning,Weekend,1,2.00,2.00
9,8,Pastry,2016-10-30,Morning,Weekend,2,3.50,7.00
10,8,Pastry,2016-10-30,Morning,Weekend,1,3.50,3.50
11,7,Muffin,2016-10-30,Morning,Weekend,1,2.00,2.00
12,5,Fudge,2016-10-30,Morning,Weekend,2,1.20,2.40
13,7,Muffin,2016-10-30,Morning,Weekend,1,2.00,2.00
14,7,Muffin,2016-10-30,Morning,Weekend,1,2.00,2.00
15,7,Muffin,2016-10-30,Morning,Weekend,1,2.00,2.00
16,7,Muffin,2016-10-30,Morning,Weekend,3,2.00,6.00
17,5,Fudge,2016-10-30,Afternoon,Weekend,1,2.00,2.00
18,7,Muffin,2016-10-30,Afternoon,Weekend,1,2.00,2.00
19,4,Cookies,2016-10-30,Afternoon,Weekend,1,1.50,1.50
20,3,Cake,2016-10-30,Afternoon,Weekend,1,5.00,5.00
21,7,Muffin,2016-10-30,Afternoon,Weekend,1,2.00,2.00
22,5,Fudge,2016-10-30,Afternoon,Weekend,1,2.00,2.00
23,7,Muffin,2016-10-30,Afternoon,Weekend,1,2.00,2.00
24,5,Fudge,2016-10-30,Afternoon,Weekend,2,2.00,4.00
25,5,Fudge,2016-10-30,Afternoon,Weekend,2,2.00,4.00
26,7,Muffin,2016-10-30,Afternoon,Weekend,5,2.00,10.00
27,3,Cake,2016-10-31,Morning,Weekday,1,5.00,5.00
28,8,Pastry,2016-10-31,Morning,Weekday,2,3.50,7.00
29,8,Pastry,2016-10-31,Morning,Weekday,1,3.50,3.50
30,8,Pastry,2016-10-31,Morning,Weekday,1,3.50,3.50
31,8,Pastry,2016-10-31,Morning,Weekday,1,3.50,3.50
32,8,Pastry,2016-10-31,Morning,Weekday,1,3.50,3.50
33,8,Pastry,2016-10-31,Morning,Weekday,1,3.50,3.50
34,8,Pastry,2016-10-31,Morning,Weekday,2,3.50,7.00
35,8,Pastry,2016-10-31,Morning,Weekday,1,3.50,3.50
36,7,Muffin,2016-10-31,Morning,Weekday,1,2.00,2.00
37,3,Cake,2016-10-31,Morning,Weekday,2,5.00,10.00
38,8,Pastry,2016-10-31,Morning,Weekday,2,3.50,7.00
39,8,Pastry,2016-10-31,Morning,Weekday,1,3.50,3.50
40,7,Muffin,2016-10-31,Morning,Weekday,4,2.00,8.00
41,7,Muffin,2016-10-31,Morning,Weekday,1,2.00,2.00
42,8,Pastry,2016-10-31,Morning,Weekday,1,3.50,3.50
43,8,Pastry,2016-10-31,Morning,Weekday,5,3.50,17.50
44,3,Cake,2016-10-31,Morning,Weekday,2,5.00,10.00
45,4,Cookies,2016-10-31,Morning,Weekday,1,1.50,1.50
46,3,Cake,2016-10-31,Morning,Weekday,1,5.00,5.00
47,4,Cookies,2016-10-31,Morning,Weekday,2,1.50,3.00
48,4,Cookies,2016-10-31,Morning,Weekday,2,1.50,3.00
49,8,Pastry,2016-10-31,Morning,Weekday,1,3.50,3.50
50,7,Muffin,2016-10-31,Morning,Weekday,2,2.00,4.00
51,4,Cookies,2016-10-31,Morning,Weekday,1,1.50,1.50
52,3,Cake,2016-10-31,Morning,Weekday,1,5.00,5.00
53,7,Muffin,2016-10-31,Afternoon,Weekday,1,2.00,2.00
54,4,Cookies,2016-10-31,Afternoon,Weekday,2,1.50,3.00
55,7,Muffin,2016-10-31,Afternoon,Weekday,1,2.00,2.00
56,4,Cookies,2016-10-31,Afternoon,Weekday,1,1.50,1.50
57,7,Muffin,2016-10-31,Afternoon,Weekday,1,2.00,2.00
58,5,Fudge,2016-10-31,Afternoon,Weekday,1,2.00,2.00
59,7,Muffin,2016-10-31,Afternoon,Weekday,1,2.00,2.00
60,4,Cookies,2016-10-31,Afternoon,Weekday,1,1.50,1.50
61,7,Muffin,2016-10-31,Afternoon,Weekday,1,2.00,2.00
62,7,Muffin,2016-10-31,Afternoon,Weekday,1,2.00,2.00
63,7,Muffin,2016-10-31,Afternoon,Weekday,1,2.00,2.00
64,7,Muffin,2016-10-31,Afternoon,Weekday,1,2.00,2.00
65,4,Cookies,2016-10-31,Afternoon,Weekday,1,1.50,1.50
66,7,Muffin,2016-10-31,Afternoon,Weekday,1,2.00,2.00
67,7,Muffin,2016-10-31,Afternoon,Weekday,1,2.00,2.00
68,7,Muffin,2016-10-31,Afternoon,Weekday,1,2.00,2.00
69,7,Muffin,2016-10-31,Afternoon,Weekday,1,2.00,2.00
70,7,Muffin,2016-10-31,Evening,Weekday,1,2.00,2.00
